file,vowels,repetation,participant,gender,lang_ability,generation,mean_f1,mean_f2,mean_f3,context
s4-15-i-sWi.TextGrid,i,1,participant4,female,monolingual,younger,458.7151813,2798.804016,3296.157165,sWi
s4-15-i-sWi.TextGrid,i,2,participant4,female,monolingual,younger,401.7779079,3023.661605,3712.112462,sWi
s4-15-i-sWi.TextGrid,i,3,participant4,female,monolingual,younger,440.472122,2637.129671,3116.146757,sWi
s4-16-i-si.TextGrid,i,1,participant4,female,monolingual,younger,336.1688303,2718.330786,3379.178222,si
s4-16-i-si.TextGrid,i,2,participant4,female,monolingual,younger,382.1495643,3149.964056,3814.365768,si
s4-16-i-si.TextGrid,i,3,participant4,female,monolingual,younger,387.1847543,2837.419874,3604.658289,si
s4-17-i-siWr.TextGrid,i,1,participant4,female,monolingual,younger,356.8825423,2806.026598,3435.200706,siWr
s4-17-i-siWr.TextGrid,i,2,participant4,female,monolingual,younger,346.5204213,2712.761981,3645.049789,siWr
s4-17-i-siWr.TextGrid,i,3,participant4,female,monolingual,younger,361.4691085,2768.139114,3457.465223,siWr
s4-18-i-sil.TextGrid,i,1,participant4,female,monolingual,younger,378.5517008,2644.336075,3116.715715,sil
s4-18-i-sil.TextGrid,i,2,participant4,female,monolingual,younger,393.2742711,2711.082356,3365.581976,sil
s4-18-i-sil.TextGrid,i,3,participant4,female,monolingual,younger,377.4748028,2615.588509,3203.609727,sil
s4-25-y-yw.TextGrid,u,1,participant4,female,monolingual,younger,388.4970117,637.7455361,2617.836314,yw
s4-25-y-yw.TextGrid,u,2,participant4,female,monolingual,younger,401.8932744,596.1416058,2576.60622,yw
s4-25-y-yw.TextGrid,u,3,participant4,female,monolingual,younger,409.6448954,635.545954,2708.27001,yw
s5-01-a-bar.TextGrid,a,1,participant5,female,monolingual,elder,928.7925944,1495.85389,2747.320516,bar
s5-01-a-bar.TextGrid,a,2,participant5,female,monolingual,elder,892.0925653,1510.440731,2787.733128,bar
s5-01-a-bar.TextGrid,a,3,participant5,female,monolingual,elder,895.3494689,1530.50691,2773.615423,bar
s5-02-a-bat.TextGrid,a,1,participant5,female,monolingual,elder,884.8095849,1479.896814,2850.479313,bat
s5-02-a-bat.TextGrid,a,2,participant5,female,monolingual,elder,890.3123533,1481.356833,2870.810083,bat
s5-02-a-bat.TextGrid,a,3,participant5,female,monolingual,elder,878.3288893,1476.416785,2888.923612,bat
s5-03-a-dar.TextGrid,a,1,participant5,female,monolingual,elder,901.5006087,1503.626201,2739.654606,dar
s5-03-a-dar.TextGrid,a,2,participant5,female,monolingual,elder,871.7270512,1486.449064,2654.301565,dar
s5-03-a-dar.TextGrid,a,3,participant5,female,monolingual,elder,900.8047457,1493.456121,2634.999601,dar
s5-04-ae-daer1.TextGrid,ae,1,participant5,female,monolingual,elder,788.7148797,1886.022709,2807.17837,daer1
s5-04-ae-daer1.TextGrid,ae,2,participant5,female,monolingual,elder,791.2405371,1898.764416,2821.205792,daer1
s5-04-ae-daer1.TextGrid,ae,3,participant5,female,monolingual,elder,752.2658627,1924.348753,2685.109246,daer1
s5-05-a-tat.TextGrid,a,1,participant5,female,monolingual,elder,928.1564852,1462.228214,2713.51693,tat
s5-05-a-tat.TextGrid,a,2,participant5,female,monolingual,elder,980.716149,1557.309019,2703.046927,tat
s5-05-a-tat.TextGrid,a,3,participant5,female,monolingual,elder,968.3192078,1568.33892,2920.634413,tat
s5-06-ae-taett1.TextGrid,ae,1,participant5,female,monolingual,elder,816.0640081,1840.123563,2793.902797,taett1
s5-06-ae-taett1.TextGrid,ae,2,participant5,female,monolingual,elder,810.8944083,1846.261663,2812.65908,taett1
s5-06-ae-taett1.TextGrid,ae,3,participant5,female,monolingual,elder,723.9062622,1870.651403,2777.019101,taett1
s5-15-i-sWi.TextGrid,i,1,participant5,female,monolingual,elder,371.5190657,2547.733767,3125.817648,sWi
s5-15-i-sWi.TextGrid,i,2,participant5,female,monolingual,elder,365.6934983,2575.753455,3189.571675,sWi
s5-15-i-sWi.TextGrid,i,3,participant5,female,monolingual,elder,442.8709248,2410.606951,2750.301693,sWi
s5-16-i-si.TextGrid,i,1,participant5,female,monolingual,elder,344.2481495,2431.017371,3075.342969,si
s5-16-i-si.TextGrid,i,2,participant5,female,monolingual,elder,363.6944704,2447.76647,3099.923509,si
s5-16-i-si.TextGrid,i,3,participant5,female,monolingual,elder,338.143284,2453.544927,3104.99913,si
s5-17-i-siWr.TextGrid,i,1,participant5,female,monolingual,elder,358.9511178,2473.465155,2856.899102,siWr
s5-17-i-siWr.TextGrid,i,2,participant5,female,monolingual,elder,379.5355731,2436.863036,3027.350672,siWr
s5-17-i-siWr.TextGrid,i,3,participant5,female,monolingual,elder,387.1365123,2401.05909,3103.157422,siWr
s5-18-i-sil.TextGrid,i,1,participant5,female,monolingual,elder,362.0665083,2410.407134,3134.906614,sil
s5-18-i-sil.TextGrid,i,2,participant5,female,monolingual,elder,349.3639556,2508.954858,3118.050477,sil
s5-18-i-sil.TextGrid,i,3,participant5,female,monolingual,elder,333.6092745,2416.168388,3058.736836,sil
s5-25-y-yw.TextGrid,u,1,participant5,female,monolingual,elder,508.5032223,1096.860184,3283.535377,yw
s5-25-y-yw.TextGrid,u,2,participant5,female,monolingual,elder,479.4415541,899.9713839,3325.463338,yw
s5-25-y-yw.TextGrid,u,3,participant5,female,monolingual,elder,494.7110615,977.9934571,3104.285132,yw
s6-01-a-bar.TextGrid,a,1,participant6,male,monolingual,younger,846.4798624,1145.960445,2671.375374,bar
s6-01-a-bar.TextGrid,a,2,participant6,male,monolingual,younger,846.7799952,1229.960614,2596.911069,bar
s6-01-a-bar.TextGrid,a,3,participant6,male,monolingual,younger,827.0996143,1291.923334,2589.888925,bar
s6-02-a-bat.TextGrid,a,1,participant6,male,monolingual,younger,787.5438536,1055.582859,2701.000753,bat
s6-02-a-bat.TextGrid,a,2,participant6,male,monolingual,younger,807.0744515,1361.897333,2705.616514,bat
s6-02-a-bat.TextGrid,a,3,participant6,male,monolingual,younger,815.5324419,1171.811514,2642.694237,bat
s6-03-a-dar.TextGrid,a,1,participant6,male,monolingual,younger,665.2465358,1162.726671,2643.541819,dar
s6-03-a-dar.TextGrid,a,2,participant6,male,monolingual,younger,706.0409843,1125.431541,2663.324995,dar
s6-03-a-dar.TextGrid,a,3,participant6,male,monolingual,younger,826.5469405,1461.229267,2632.237805,dar
s6-04-ae-daer1.TextGrid,ae,1,participant6,male,monolingual,younger,744.1462786,1657.825858,2501.064788,daer1
s6-04-ae-daer1.TextGrid,ae,2,participant6,male,monolingual,younger,752.9199712,1667.997021,2631.222009,daer1
s6-04-ae-daer1.TextGrid,ae,3,participant6,male,monolingual,younger,773.6786679,1634.115371,2515.135156,daer1
s6-05-a-tat.TextGrid,a,1,participant6,male,monolingual,younger,778.4083993,1153.446708,2753.990433,tat
s6-05-a-tat.TextGrid,a,2,participant6,male,monolingual,younger,746.9242708,1187.195271,2686.337799,tat
s6-05-a-tat.TextGrid,a,3,participant6,male,monolingual,younger,687.8781374,1148.936448,2513.722322,tat
s6-06-ae-taett1.TextGrid,ae,1,participant6,male,monolingual,younger,639.6210599,1660.147336,2520.949242,taett1
s6-06-ae-taett1.TextGrid,ae,2,participant6,male,monolingual,younger,631.4676117,1712.168921,2631.566731,taett1
s6-06-ae-taett1.TextGrid,ae,3,participant6,male,monolingual,younger,694.3410915,1682.718232,2461.131695,taett1
s6-12-1-1r1p.TextGrid,a,1,participant6,male,monolingual,younger,460.4836867,1614.958018,2691.248361,1r1p
